EmployeeNumber,Age,Attrition,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,WorkLifeBalance,YearsAtCompany
640,49,No,Research & Development,1,Bachelor,Technical Degree,High,Low,Married,3580,2,Better,4
641,24,No,Research & Development,4,Below College,Life Sciences,Low,Very High,Married,3162,0,Good,5
642,32,No,Sales,5,College,Life Sciences,Medium,Medium,Married,6524,1,Better,10
643,38,No,Sales,9,Bachelor,Marketing,Medium,Medium,Married,2899,0,Better,2
644,42,No,Research & Development,3,Bachelor,Life Sciences,High,Very High,Married,5231,2,Good,5
645,31,No,Research & Development,11,Master,Life Sciences,Very High,Very High,Married,2356,3,Better,6
646,29,Yes,Sales,1,Bachelor,Medical,Medium,High,Divorced,2800,6,Better,3
647,53,No,Sales,8,Bachelor,Marketing,Low,Very High,Married,11836,5,Better,2
648,35,No,Research & Development,25,Bachelor,Technical Degree,Very High,Medium,Married,10903,3,Better,13
649,37,No,Sales,21,College,Medical,High,Very High,Married,2973,5,Better,5
650,53,No,Research & Development,23,Master,Life Sciences,Very High,Very High,Single,14275,6,Better,12
651,43,No,Research & Development,1,Bachelor,Life Sciences,Very High,Very High,Married,5562,4,Good,5
652,47,No,Sales,2,College,Marketing,High,Very High,Married,4537,0,Better,7
653,37,No,Sales,19,College,Medical,Low,Medium,Single,7642,1,Better,10
654,50,No,Research & Development,2,Master,Life Sciences,Low,Low,Divorced,17924,1,Better,31
655,39,No,Human Resources,2,Bachelor,Life Sciences,Very High,Very High,Married,5204,8,Better,5
656,33,No,Human Resources,3,College,Human Resources,Very High,Medium,Divorced,2277,3,Best,4
657,32,Yes,Research & Development,25,Master,Life Sciences,Low,Very High,Single,2795,1,Bad,1
658,29,No,Research & Development,7,Below College,Medical,Low,Very High,Divorced,2532,6,Better,4
659,44,No,Research & Development,9,College,Life Sciences,Medium,Low,Married,2559,1,Better,8
660,28,No,Sales,5,Master,Medical,Low,Very High,Single,4908,1,Better,4
661,58,Yes,Research & Development,2,Below College,Life Sciences,Very High,Very High,Divorced,2380,9,Good,1
662,43,No,Research & Development,8,Bachelor,Life Sciences,Low,Medium,Divorced,4765,4,Best,1
663,20,Yes,Sales,2,Bachelor,Medical,High,High,Single,2044,1,Good,2
664,21,Yes,Research & Development,18,Below College,Other,Very High,Very High,Single,2693,1,Good,1
665,36,No,Research & Development,14,Below College,Life Sciences,High,Very High,Married,6586,0,Good,16
666,47,No,Sales,2,Master,Life Sciences,Very High,Very High,Single,3294,1,Good,3
667,22,Yes,Research & Development,3,Below College,Life Sciences,Medium,High,Married,4171,0,Best,3
668,41,Yes,Research & Development,2,Master,Life Sciences,Medium,Very High,Divorced,2778,4,Good,7
669,28,No,Research & Development,9,Bachelor,Medical,High,High,Divorced,2377,5,Better,2
670,39,Yes,Research & Development,6,Bachelor,Medical,Very High,Low,Married,2404,7,Bad,2
671,27,No,Research & Development,4,Bachelor,Life Sciences,Medium,High,Single,2318,1,Better,1
672,34,No,Research & Development,10,Bachelor,Life Sciences,Medium,Medium,Divorced,2008,1,Better,1
673,42,No,Sales,14,College,Medical,High,High,Single,6244,7,Better,5
674,33,No,Research & Development,1,Master,Other,High,Low,Single,2799,3,Better,3
675,58,No,Research & Development,5,Bachelor,Technical Degree,High,Medium,Divorced,10552,2,Better,6
676,31,No,Sales,7,Master,Life Sciences,Medium,High,Married,2329,3,Best,7
677,35,No,Research & Development,21,Below College,Life Sciences,Very High,Very High,Married,4014,1,Bad,10
678,49,No,Research & Development,8,College,Other,Low,Medium,Married,7403,4,Good,26
679,48,No,Research & Development,20,Master,Medical,Very High,High,Married,2259,4,Good,0
680,31,No,Sales,20,College,Marketing,Very High,High,Married,6932,1,Good,9
681,36,No,Research & Development,7,Master,Other,Medium,Very High,Single,4678,2,Better,6
682,38,No,Research & Development,1,Bachelor,Technical Degree,Very High,Low,Married,13582,1,Better,15
683,32,No,Research & Development,1,Bachelor,Life Sciences,High,Medium,Married,2332,6,Better,3
684,25,Yes,Sales,19,College,Marketing,High,Medium,Married,2413,1,Better,1
685,40,No,Sales,10,Master,Marketing,Low,Medium,Divorced,9705,2,Good,1
686,26,No,Sales,1,Bachelor,Medical,High,Low,Single,4294,1,Better,7
687,41,No,Research & Development,6,Bachelor,Medical,Very High,Low,Single,4721,2,Better,18
688,36,No,Research & Development,2,Master,Medical,High,High,Single,2519,4,Better,11
689,19,Yes,Sales,21,Bachelor,Other,Very High,Medium,Single,2121,1,Best,1
690,20,Yes,Research & Development,4,Bachelor,Technical Degree,Low,Low,Single,2973,1,Better,1
691,31,No,Research & Development,12,Bachelor,Medical,Very High,Very High,Married,5855,0,Bad,9
692,40,No,Research & Development,9,Master,Medical,Very High,Medium,Divorced,3617,8,Better,1
693,32,No,Research & Development,3,Master,Medical,High,Low,Married,6725,1,Best,8
694,36,Yes,Sales,3,Below College,Life Sciences,High,Very High,Married,10325,1,Better,16
695,33,No,Research & Development,1,Bachelor,Life Sciences,Medium,Very High,Single,6949,0,Better,5
696,37,Yes,Sales,1,Master,Life Sciences,Low,High,Married,10609,5,Bad,14
697,45,No,Research & Development,4,College,Life Sciences,High,Medium,Married,4447,1,Good,9
698,29,No,Sales,20,Bachelor,Technical Degree,High,Very High,Married,2157,1,Better,3
699,35,No,Sales,18,Bachelor,Medical,High,High,Married,4601,1,Better,5
700,52,No,Research & Development,1,College,Life Sciences,Very High,Very High,Married,17099,2,Good,9
701,58,Yes,Research & Development,2,Bachelor,Technical Degree,Very High,High,Single,2479,4,Better,1
702,53,No,Sales,2,College,Medical,High,High,Divorced,14852,6,Best,17
703,30,No,Sales,8,College,Other,High,High,Divorced,7264,5,Best,8
704,38,No,Sales,10,Bachelor,Technical Degree,High,Very High,Single,5666,1,Better,5
705,35,No,Sales,3,Master,Life Sciences,Very High,Very High,Divorced,7823,6,Better,10
706,39,No,Sales,2,Doctor,Life Sciences,Low,High,Single,7880,0,Better,8
707,40,Yes,Sales,24,Bachelor,Life Sciences,Medium,Medium,Single,13194,4,Good,1
708,47,No,Research & Development,16,Master,Medical,High,High,Divorced,5067,1,Best,19
709,36,No,Sales,8,Master,Technical Degree,Low,Very High,Divorced,5079,4,Better,7
710,31,Yes,Research & Development,9,College,Medical,High,Low,Single,2321,0,Better,3
711,33,No,Sales,17,Bachelor,Life Sciences,Very High,High,Single,17444,1,Better,10
712,29,Yes,Research & Development,10,Bachelor,Life Sciences,Very High,Low,Single,2404,6,Better,0
713,33,No,Research & Development,13,Below College,Life Sciences,Medium,Very High,Single,3452,3,Better,3
714,45,No,Research & Development,1,Master,Medical,Very High,Very High,Divorced,2270,3,Better,5
715,50,No,Research & Development,1,College,Medical,Very High,Very High,Divorced,17399,9,Good,5
716,33,No,Research & Development,1,Master,Other,High,Medium,Married,5488,1,Better,6
717,41,No,Research & Development,9,Bachelor,Medical,Low,High,Divorced,19419,2,Best,18
718,27,No,Research & Development,16,Master,Technical Degree,High,Medium,Married,2811,9,Better,2
719,45,No,Research & Development,23,College,Life Sciences,Very High,Low,Married,3633,1,Better,9
720,47,No,Sales,4,College,Life Sciences,Very High,Very High,Single,4163,1,Better,9
721,30,Yes,Research & Development,22,Bachelor,Life Sciences,Low,High,Married,2132,4,Better,5
722,50,No,Research & Development,24,Bachelor,Life Sciences,Very High,High,Married,13973,3,Better,12
723,38,No,Research & Development,10,Below College,Medical,High,High,Married,2684,0,Good,2
724,46,No,Research & Development,7,College,Medical,Very High,High,Divorced,10845,6,Better,8
725,24,No,Research & Development,17,Below College,Medical,Very High,High,Divorced,4377,1,Better,4
726,35,Yes,Research & Development,14,Master,Other,High,Medium,Divorced,3743,1,Bad,4
727,31,No,Research & Development,1,Below College,Life Sciences,High,Low,Married,4148,1,Better,4
728,18,No,Research & Development,5,College,Life Sciences,Medium,Very High,Single,1051,1,Better,0
729,54,No,Research & Development,17,Bachelor,Technical Degree,High,High,Married,10739,8,Better,10
730,35,No,Research & Development,25,Master,Medical,High,High,Divorced,10388,1,Good,16
731,30,No,Research & Development,8,College,Life Sciences,Medium,Low,Married,11416,0,Good,8
732,20,Yes,Research & Development,11,Bachelor,Medical,Very High,Low,Single,2600,1,Better,1
733,30,Yes,Research & Development,5,Bachelor,Medical,Medium,Medium,Single,2422,0,Better,3
734,26,No,Research & Development,2,College,Medical,Very High,Very High,Married,5472,1,Better,8
735,22,No,Research & Development,8,Below College,Life Sciences,Medium,Low,Married,2451,1,Good,4
736,48,No,Research & Development,6,Bachelor,Life Sciences,Low,High,Single,4240,2,Better,2
737,48,No,Research & Development,4,Master,Life Sciences,High,High,Single,10999,7,Better,15
738,41,No,Research & Development,7,College,Medical,Very High,High,Single,5003,6,Better,2
739,39,No,Research & Development,1,Below College,Life Sciences,Very High,Very High,Married,12742,1,Better,21
740,27,No,Research & Development,2,Master,Life Sciences,Low,Very High,Married,4227,0,Better,3
741,35,No,Research & Development,10,Bachelor,Other,Medium,Very High,Divorced,3917,1,Good,3
742,42,No,Sales,5,College,Marketing,Very High,High,Married,18303,6,Best,1
743,50,No,Research & Development,9,Bachelor,Life Sciences,Low,Very High,Married,2380,4,Better,1
744,59,No,Research & Development,2,Bachelor,Life Sciences,High,Very High,Single,13726,3,Better,5
745,37,Yes,Research & Development,11,College,Medical,Low,Medium,Married,4777,5,Bad,1
746,55,No,Research & Development,18,Master,Medical,High,Medium,Married,6385,3,Better,8
747,41,No,Research & Development,7,Below College,Life Sciences,Medium,High,Divorced,19973,1,Better,21
748,38,No,Sales,3,Master,Life Sciences,Medium,Very High,Single,6861,8,Better,1
749,26,Yes,Sales,29,College,Medical,Medium,Low,Single,4969,8,Better,2
750,52,Yes,Sales,2,Below College,Marketing,Low,Very High,Married,19845,1,Better,32
751,44,No,Sales,28,Bachelor,Medical,Very High,Very High,Married,13320,3,Better,12
752,50,No,Sales,1,Bachelor,Life Sciences,Very High,High,Married,6347,0,Better,18
753,36,Yes,Research & Development,16,Master,Life Sciences,High,Low,Single,2743,1,Better,17
754,39,No,Research & Development,22,Bachelor,Medical,Very High,Low,Single,10880,1,Better,21
755,33,No,Sales,8,Below College,Life Sciences,Medium,Very High,Single,2342,0,Good,2
756,45,No,Sales,11,College,Life Sciences,Very High,Very High,Married,17650,3,Best,9
757,32,No,Research & Development,29,Master,Medical,Very High,High,Single,4025,9,Better,8
758,34,No,Sales,1,Master,Marketing,Medium,Very High,Divorced,9725,0,Good,15
759,59,No,Sales,1,College,Technical Degree,Medium,Very High,Married,11904,3,Bad,6
760,45,No,Human Resources,24,Master,Medical,Medium,Medium,Single,2177,1,Better,6
761,53,No,Sales,2,Bachelor,Marketing,High,Medium,Married,7525,2,Better,15
762,36,Yes,Research & Development,15,Bachelor,Other,Low,High,Divorced,4834,7,Good,1
763,26,Yes,Research & Development,2,Bachelor,Life Sciences,Low,Low,Married,2042,6,Better,3
764,34,No,Sales,10,Master,Life Sciences,High,High,Married,2220,1,Better,1
765,28,No,Sales,10,Below College,Medical,Very High,Medium,Married,1052,1,Better,1
766,38,No,Research & Development,3,Master,Other,High,High,Married,2821,3,Better,2
767,50,No,Research & Development,2,Master,Medical,Medium,High,Married,19237,2,Good,8
768,37,No,Research & Development,3,Bachelor,Other,Very High,Medium,Single,4107,3,Good,4
769,40,No,Sales,26,Bachelor,Marketing,High,Low,Married,8396,1,Good,7
770,26,No,Research & Development,1,Below College,Medical,Low,High,Divorced,2007,1,Better,5
771,46,No,Research & Development,1,Master,Medical,Very High,Very High,Divorced,19627,9,Better,2
772,54,No,Sales,2,Master,Life Sciences,High,High,Married,10686,6,Better,9
773,56,No,Research & Development,9,Bachelor,Medical,Low,High,Married,2942,2,Better,5
774,36,No,Research & Development,12,Doctor,Medical,Very High,Very High,Single,8858,0,Good,14
775,55,No,Research & Development,2,Below College,Medical,High,Low,Single,16756,7,Best,9
776,43,No,Sales,25,Bachelor,Medical,High,Very High,Divorced,10798,5,Better,1
777,20,Yes,Sales,9,Bachelor,Marketing,Very High,Very High,Single,2323,1,Better,2
778,21,Yes,Research & Development,10,Bachelor,Life Sciences,High,Low,Single,1416,1,Good,1
779,46,No,Research & Development,8,Master,Life Sciences,Very High,Low,Divorced,4615,8,Better,16
780,51,Yes,Research & Development,4,Master,Life Sciences,Low,High,Married,2461,9,Best,10
781,28,Yes,Research & Development,24,College,Technical Degree,Medium,Low,Single,8722,1,Good,10
782,26,No,Research & Development,1,College,Medical,Low,Low,Married,3955,1,Better,5
783,30,No,Research & Development,20,Bachelor,Other,High,Low,Married,9957,0,Good,6
784,41,No,Research & Development,7,College,Technical Degree,Medium,High,Married,3376,1,Better,10
785,38,No,Research & Development,17,Below College,Life Sciences,High,High,Married,8823,0,Good,19
786,40,No,Research & Development,20,Master,Technical Degree,Low,Very High,Married,10322,4,Better,11
787,27,No,Research & Development,8,Doctor,Life Sciences,Low,High,Married,4621,1,Better,3
788,55,No,Research & Development,2,Below College,Life Sciences,Very High,Medium,Married,10976,3,Better,3
789,28,No,Research & Development,10,Bachelor,Other,High,High,Single,3660,3,Best,8
790,44,Yes,Human Resources,1,College,Medical,Medium,Low,Married,10482,9,Better,20
791,33,No,Research & Development,5,Bachelor,Life Sciences,Very High,Very High,Divorced,7119,4,Better,3
792,35,Yes,Sales,4,Bachelor,Technical Degree,Very High,Low,Single,9582,0,Better,8
793,33,Yes,Research & Development,29,Master,Medical,Low,High,Single,4508,1,Better,13
794,28,No,Research & Development,15,College,Life Sciences,Low,High,Divorced,2207,1,Good,4
795,34,No,Research & Development,3,Below College,Life Sciences,Low,Very High,Single,7756,0,Good,6
796,37,No,Sales,10,Master,Life Sciences,Very High,Very High,Divorced,6694,2,Better,1
797,25,Yes,Research & Development,4,Below College,Technical Degree,Very High,Very High,Married,3691,1,Best,7
798,26,Yes,Research & Development,21,Bachelor,Medical,Low,High,Divorced,2377,1,Good,1
799,33,Yes,Research & Development,25,Bachelor,Medical,Low,Medium,Single,2313,4,Better,2
800,42,No,Research & Development,2,College,Medical,Very High,Low,Married,17665,0,Better,22
801,28,Yes,Research & Development,1,Bachelor,Medical,Low,Medium,Divorced,2596,1,Better,1
802,50,Yes,Sales,1,Master,Other,Very High,High,Single,4728,3,Better,0
803,33,No,Sales,7,Bachelor,Life Sciences,Very High,Medium,Married,4302,0,Better,3
804,34,No,Research & Development,3,Master,Life Sciences,High,Very High,Married,2979,3,Better,0
805,48,No,Research & Development,1,Master,Medical,Low,Very High,Single,16885,2,Good,5
806,45,No,Sales,9,Master,Life Sciences,Medium,High,Married,5593,1,Better,15
807,52,No,Research & Development,7,Master,Life Sciences,Medium,Medium,Single,10445,7,Better,8
808,38,No,Sales,10,Master,Marketing,High,High,Divorced,8740,0,Better,8
809,29,No,Research & Development,28,Master,Life Sciences,High,Very High,Divorced,2514,4,Better,7
810,28,No,Research & Development,3,Bachelor,Medical,Very High,Medium,Divorced,7655,0,Good,9
811,46,No,Sales,3,Below College,Marketing,Low,High,Married,17465,3,Better,12
812,38,No,Sales,2,College,Marketing,Very High,Medium,Single,7351,7,Better,1
813,43,No,Research & Development,27,Bachelor,Life Sciences,High,Low,Married,10820,8,Better,8
814,39,Yes,Research & Development,2,Bachelor,Life Sciences,Low,Very High,Divorced,12169,7,Better,18
815,40,No,Research & Development,14,Bachelor,Medical,High,High,Single,19626,1,Best,20
816,21,No,Research & Development,1,Below College,Technical Degree,Very High,Medium,Single,2070,1,Best,2
817,39,No,Research & Development,9,Bachelor,Life Sciences,High,Medium,Single,6782,9,Good,5
818,36,No,Research & Development,18,Master,Life Sciences,Low,Very High,Single,7779,2,Better,11
819,31,No,Sales,20,Bachelor,Life Sciences,High,Very High,Married,2791,0,Better,2
820,28,No,Research & Development,2,Below College,Life Sciences,Low,Medium,Married,3201,0,Bad,5
821,35,No,Sales,11,College,Marketing,Very High,Very High,Divorced,4968,1,Better,5
822,49,No,Sales,8,Master,Technical Degree,Very High,Medium,Married,13120,6,Better,9
823,34,No,Research & Development,2,College,Life Sciences,Very High,High,Single,4033,2,Good,3
824,29,No,Research & Development,10,Bachelor,Life Sciences,Very High,Medium,Divorced,3291,0,Good,7
825,42,No,Research & Development,29,Bachelor,Medical,Medium,Very High,Single,4272,4,Better,1
826,29,No,Research & Development,8,Below College,Medical,Medium,Very High,Married,5056,1,Good,10
827,38,No,Human Resources,1,Bachelor,Human Resources,High,High,Married,2844,1,Best,7
828,28,No,Research & Development,6,Bachelor,Life Sciences,High,High,Divorced,2703,1,Better,3
829,18,Yes,Research & Development,8,Below College,Medical,High,High,Single,1904,1,Better,0
830,33,Yes,Sales,9,Master,Marketing,Low,Low,Single,8224,0,Better,5
831,41,No,Research & Development,12,Master,Life Sciences,Medium,Very High,Married,4766,3,Better,1
832,31,Yes,Research & Development,15,Bachelor,Medical,High,High,Married,2610,1,Good,2
833,37,No,Research & Development,25,College,Medical,High,Very High,Divorced,5731,7,Better,6
834,27,No,Research & Development,6,Bachelor,Life Sciences,Very High,High,Married,2539,1,Better,4
835,34,No,Sales,9,Below College,Life Sciences,Medium,High,Married,5714,1,Good,6
836,35,No,Human Resources,8,Master,Technical Degree,High,High,Single,4323,1,Bad,5
837,29,Yes,Sales,23,Below College,Life Sciences,Very High,Low,Married,7336,1,Bad,11
838,40,No,Research & Development,9,Master,Medical,Medium,High,Single,13499,9,Good,18
839,42,Yes,Sales,12,Bachelor,Life Sciences,High,Low,Single,13758,0,Good,21
840,42,No,Sales,4,Master,Marketing,Medium,Low,Single,5155,7,Best,6
841,35,No,Research & Development,1,Master,Medical,Very High,High,Married,2258,6,Better,8
842,24,No,Research & Development,24,Bachelor,Medical,Very High,Medium,Single,3597,8,Better,4
843,28,Yes,Research & Development,12,Below College,Life Sciences,High,Very High,Married,2515,1,Good,1
844,26,No,Research & Development,3,Master,Medical,Low,Very High,Married,4420,1,Better,8
845,30,No,Sales,10,Bachelor,Marketing,High,High,Married,6578,1,Better,10
846,40,No,Research & Development,26,College,Medical,High,Very High,Married,4422,3,Bad,1
847,35,No,Research & Development,2,Bachelor,Life Sciences,High,Medium,Divorced,10274,2,Best,7
848,34,No,Research & Development,1,Bachelor,Medical,Very High,Low,Single,5343,0,Better,13
849,35,No,Research & Development,4,Master,Other,Very High,Very High,Married,2376,1,Best,2
850,43,Yes,Sales,9,Bachelor,Marketing,Low,High,Single,5346,8,Good,4
851,32,No,Sales,2,Below College,Life Sciences,High,Low,Divorced,2827,1,Better,1
852,56,No,Research & Development,4,Master,Technical Degree,Very High,Low,Divorced,19943,4,Better,5
853,29,No,Research & Development,6,Below College,Medical,Medium,Very High,Married,3131,1,Better,10
854,19,No,Research & Development,9,College,Life Sciences,High,Low,Single,2552,1,Better,1
855,45,No,Research & Development,7,Bachelor,Medical,Low,High,Married,4477,4,Good,3
856,37,No,Research & Development,1,Bachelor,Life Sciences,Very High,Very High,Married,6474,1,Good,14
857,20,No,Research & Development,3,Bachelor,Life Sciences,Low,High,Single,3033,1,Good,2
858,44,Yes,Research & Development,10,Master,Life Sciences,High,High,Single,2936,1,Better,6
859,53,No,Research & Development,7,College,Medical,Very High,High,Divorced,18606,3,Better,7
860,29,No,Research & Development,15,Below College,Life Sciences,Medium,Very High,Married,2168,0,Good,5
861,22,Yes,Research & Development,3,Master,Life Sciences,High,Very High,Married,2853,0,Better,0
862,46,No,Sales,2,Bachelor,Marketing,High,Low,Married,17048,8,Better,26
863,44,No,Research & Development,17,Bachelor,Life Sciences,Very High,High,Single,2290,2,Better,0
864,33,No,Human Resources,2,Bachelor,Human Resources,Medium,High,Married,3600,1,Better,5
865,41,Yes,Research & Development,5,College,Life Sciences,Low,Low,Divorced,2107,6,Bad,1
866,30,No,Sales,29,Master,Life Sciences,High,Low,Divorced,4115,8,Better,4
867,40,No,Sales,2,Master,Medical,Medium,Medium,Married,4327,5,Better,0
868,50,No,Research & Development,2,Bachelor,Medical,Very High,Low,Married,17856,2,Better,2
869,28,No,Research & Development,19,Master,Medical,Very High,Low,Married,3196,1,Better,6
870,46,No,Research & Development,15,College,Life Sciences,Very High,Medium,Married,19081,5,Better,4
871,35,No,Sales,17,Master,Life Sciences,High,Low,Married,8966,3,Better,7
872,24,Yes,Research & Development,17,College,Life Sciences,Very High,Medium,Married,2210,1,Bad,1
873,33,No,Sales,25,Bachelor,Medical,Medium,High,Married,4539,1,Good,10
874,36,No,Research & Development,6,Master,Life Sciences,High,High,Divorced,2741,1,Better,7
875,30,No,Research & Development,7,Master,Life Sciences,High,High,Divorced,3491,1,Good,10
876,44,No,Research & Development,29,Master,Other,Very High,Very High,Single,4541,1,Better,20
877,20,No,Sales,21,Bachelor,Marketing,High,Very High,Single,2678,1,Better,2
878,46,No,Research & Development,2,Master,Technical Degree,Very High,Very High,Divorced,7379,2,Good,6
879,42,No,Human Resources,2,Doctor,Medical,Very High,Low,Married,6272,7,Best,4
880,60,No,Sales,7,Master,Marketing,Medium,Very High,Divorced,5220,0,Better,11
881,32,No,Research & Development,13,Bachelor,Other,High,Medium,Married,2743,1,Better,2
882,32,No,Research & Development,2,College,Life Sciences,Very High,High,Single,4998,4,Better,8
883,36,No,Research & Development,1,Bachelor,Technical Degree,High,Low,Divorced,10252,2,Better,7
884,33,No,Research & Development,9,Bachelor,Medical,Low,Very High,Married,2781,0,Better,14
885,40,No,Sales,10,Bachelor,Technical Degree,Medium,Medium,Divorced,6852,7,Best,5
886,25,No,Sales,10,Master,Life Sciences,High,Very High,Single,4950,0,Better,4
887,30,No,Research & Development,1,Bachelor,Medical,Very High,Medium,Married,3579,0,Better,11
888,42,No,Research & Development,26,Doctor,Medical,Low,Low,Married,13191,3,Better,1
889,35,No,Sales,8,College,Marketing,High,Very High,Married,10377,4,Good,13
890,27,No,Research & Development,14,Bachelor,Life Sciences,Low,Low,Married,2235,1,Good,9
891,54,No,Research & Development,1,Master,Life Sciences,Very High,High,Divorced,10502,7,Bad,5
892,44,No,Research & Development,2,Below College,Life Sciences,Low,Very High,Married,2011,1,Better,10
893,19,Yes,Research & Development,10,Bachelor,Medical,Low,Medium,Single,1859,1,Best,1
894,29,No,Research & Development,1,Bachelor,Life Sciences,Low,Very High,Divorced,3760,1,Better,3
895,54,No,Research & Development,3,Bachelor,Life Sciences,Very High,Very High,Married,17779,3,Better,10
896,31,No,Research & Development,11,College,Medical,High,Low,Married,6833,1,Good,6
897,31,No,Research & Development,24,Bachelor,Medical,High,Low,Single,6812,1,Better,10
898,59,No,Sales,3,Bachelor,Life Sciences,High,Very High,Single,5171,5,Better,6
899,43,No,Research & Development,3,Bachelor,Life Sciences,High,Very High,Married,19740,3,Better,8
900,49,No,Research & Development,4,College,Medical,Low,High,Married,18711,2,Best,1
901,36,No,Research & Development,3,Bachelor,Technical Degree,High,Medium,Married,3692,1,Good,11
902,48,No,Research & Development,2,College,Technical Degree,Very High,Medium,Single,2559,5,Good,1
903,27,No,Research & Development,4,College,Life Sciences,Low,High,Divorced,2517,1,Better,5
904,29,No,Research & Development,7,Bachelor,Life Sciences,High,Very High,Divorced,6623,1,Better,6
905,48,No,Research & Development,1,Bachelor,Life Sciences,Very High,Very High,Single,18265,6,Best,1
906,29,No,Research & Development,1,Bachelor,Life Sciences,Very High,Very High,Divorced,16124,3,Good,7
907,34,No,Research & Development,20,Bachelor,Technical Degree,High,High,Married,2585,0,Good,1
908,44,No,Sales,5,Bachelor,Marketing,Medium,Medium,Married,18213,7,Better,22
909,33,No,Sales,10,Doctor,Marketing,Very High,High,Divorced,8380,0,Better,9
910,19,No,Research & Development,25,Bachelor,Life Sciences,Medium,Very High,Single,2994,1,Better,1
911,23,No,Research & Development,1,College,Life Sciences,Very High,High,Married,1223,1,Better,1
912,25,Yes,Sales,24,Below College,Life Sciences,High,Very High,Single,1118,1,Better,1
913,26,No,Research & Development,4,College,Life Sciences,High,Very High,Single,2875,1,Good,8
914,45,Yes,Sales,2,Bachelor,Marketing,Low,Medium,Single,18824,2,Better,24
915,55,No,Research & Development,8,Below College,Medical,Very High,Medium,Divorced,13577,1,Better,33
916,21,Yes,Research & Development,10,College,Life Sciences,Low,High,Single,2625,1,Bad,2
917,46,No,Sales,4,College,Marketing,Very High,Medium,Married,18789,2,Better,11
918,34,No,Sales,2,Bachelor,Marketing,High,Low,Single,4538,0,Better,3
919,51,No,Sales,9,Bachelor,Life Sciences,Very High,Medium,Divorced,19847,4,Good,29
920,59,No,Research & Development,18,Master,Medical,Very High,Very High,Single,10512,6,Good,9
921,34,No,Research & Development,19,Bachelor,Medical,High,Medium,Divorced,4444,4,Best,11
922,28,No,Research & Development,1,Master,Medical,Very High,High,Single,2154,0,Good,4
923,44,No,Research & Development,4,College,Life Sciences,High,Low,Divorced,19190,1,Good,25
924,34,No,Human Resources,11,Bachelor,Life Sciences,High,Medium,Married,4490,4,Best,10
925,35,No,Research & Development,6,Below College,Life Sciences,High,High,Married,3506,0,Better,3
926,42,No,Research & Development,7,Master,Medical,Medium,Medium,Married,2372,6,Better,1
927,43,No,Sales,4,Master,Marketing,Very High,Very High,Single,10231,3,Best,21
928,36,No,Research & Development,2,Master,Life Sciences,High,Medium,Single,5410,9,Better,16
929,44,Yes,Research & Development,15,Bachelor,Medical,Low,Very High,Married,7978,1,Better,10
930,28,No,Research & Development,2,Bachelor,Life Sciences,Very High,Very High,Married,3867,1,Better,2
931,51,No,Research & Development,6,College,Medical,Medium,High,Single,2838,0,Good,7
932,30,No,Research & Development,9,College,Medical,High,High,Single,4695,7,Better,8
933,29,Yes,Research & Development,7,Bachelor,Technical Degree,Medium,High,Divorced,3339,3,Better,7
934,28,No,Research & Development,1,Bachelor,Technical Degree,Very High,Low,Single,2080,2,Good,3
935,25,No,Research & Development,1,Bachelor,Medical,Very High,Medium,Single,2096,1,Good,2
936,32,No,Sales,8,Bachelor,Medical,High,Very High,Married,6209,1,Best,10
937,45,No,Research & Development,25,Bachelor,Medical,Medium,Medium,Single,18061,3,Better,0
938,39,No,Research & Development,13,Master,Medical,High,Medium,Divorced,17123,6,Better,19
939,58,No,Research & Development,23,Master,Life Sciences,Low,High,Divorced,2372,1,Better,2
940,32,Yes,Research & Development,7,College,Life Sciences,Very High,High,Married,4883,1,Better,10
941,39,Yes,Research & Development,23,Bachelor,Medical,High,Low,Single,3904,0,Better,5
942,30,No,Research & Development,6,Bachelor,Technical Degree,Low,Very High,Married,4627,0,Better,9
943,36,No,Research & Development,10,Master,Technical Degree,Very High,High,Married,7094,3,Better,7
944,46,No,Human Resources,1,College,Life Sciences,Very High,Low,Single,3423,6,Best,7
945,28,No,Research & Development,1,Bachelor,Life Sciences,High,Very High,Married,6674,0,Better,9
946,50,No,Research & Development,28,Bachelor,Life Sciences,Very High,Low,Married,16880,4,Better,3
947,40,Yes,Sales,25,Master,Marketing,Very High,Medium,Single,9094,2,Better,5
948,52,Yes,Sales,5,Bachelor,Life Sciences,Medium,Medium,Single,8446,9,Good,8
949,30,No,Research & Development,17,Master,Medical,Medium,Low,Married,11916,1,Better,9
950,39,No,Research & Development,18,College,Life Sciences,Low,High,Single,4534,0,Better,8
951,31,No,Sales,2,Master,Life Sciences,Very High,High,Divorced,9852,1,Good,10
952,41,No,Sales,10,College,Medical,High,Medium,Single,6151,1,Better,19
953,31,Yes,Sales,1,Bachelor,Life Sciences,Very High,Medium,Single,2302,1,Best,3
954,44,Yes,Research & Development,3,Bachelor,Life Sciences,Low,Low,Married,2362,4,Best,3
955,42,No,Research & Development,2,Below College,Life Sciences,High,High,Married,17861,0,Good,20
956,55,No,Research & Development,2,College,Medical,Very High,High,Married,19187,4,Better,19
957,56,No,Human Resources,8,Master,Life Sciences,Very High,Medium,Single,19717,6,Better,7
958,40,No,Research & Development,16,College,Life Sciences,High,High,Divorced,3544,9,Better,4
